grid,layout,rows,cols,n_states,seed,training_episodes,training_time_seconds,episodes_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
6x6,9,6,6,36,0,3000,0.5184739000396803,5786.212188830337,1.0,0.0,0.0,5.935,2.1215030049472,5.065,5.065,1.0,1.0
6x6,9,6,6,36,1,3000,0.5150840999558568,5824.291606471842,1.0,0.0,0.0,5.885,2.1193808058015438,5.115,5.115,1.0,1.0
6x6,9,6,6,36,2,3000,0.5249785999767482,5714.518649203744,1.0,0.0,0.0,5.74,2.114804955545546,5.26,5.26,1.0,1.0
6x6,9,6,6,36,3,3000,0.5305880999658257,5654.103437663274,1.0,0.0,0.0,5.805,2.031495754364257,5.195,5.195,1.0,1.0
6x6,9,6,6,36,4,3000,0.546247300109826,5492.017991479012,1.0,0.0,0.0,5.725,1.9363302920731267,5.275,5.275,1.0,1.0
6x6,10,6,6,36,0,3000,0.5054619000293314,5935.165439424639,1.0,0.0,0.0,6.19,2.2369398740243334,4.81,4.65,0.9771428571428572,0.92
6x6,10,6,6,36,1,3000,0.4952394999563694,6057.67512539751,1.0,0.0,0.0,6.12,2.1390652163971065,4.88,4.88,1.0,1.0
6x6,10,6,6,36,2,3000,0.4654960000189021,6444.738515214268,1.0,0.0,0.0,6.29,2.1438050284482495,4.71,4.71,1.0,1.0
6x6,10,6,6,36,3,3000,0.46411699999589473,6463.887338810119,1.0,0.0,0.0,6.265,2.2813975979648964,4.735,4.545,0.9728571428571428,0.905
6x6,10,6,6,36,4,3000,0.4876544000580907,6151.897736681207,1.0,0.0,0.0,6.265,2.241600990363807,4.735,4.715,0.9971428571428572,0.99
8x8,1,8,8,64,0,3000,0.6804690000135452,4408.723982929837,1.0,0.0,0.0,4.465,3.163664805253553,6.535,6.535,1.0,1.0
8x8,1,8,8,64,1,3000,0.6223338999552652,4820.563366732307,1.0,0.0,0.0,4.765,2.952926514493715,6.235,6.235,1.0,1.0
8x8,1,8,8,64,2,3000,0.6682895000558347,4489.0724749518795,1.0,0.0,0.0,4.865,3.1299800318851876,6.135,6.135,1.0,1.0
8x8,1,8,8,64,3,3000,0.6331001999787986,4738.586404017034,1.0,0.0,0.0,4.63,3.0680775739866815,6.37,6.37,1.0,1.0
8x8,1,8,8,64,4,3000,0.6983228999888524,4296.006904610876,1.0,0.0,0.0,4.435,3.1930823666169337,6.565,6.515,0.9954545454545456,0.975
8x8,2,8,8,64,0,3000,0.6165966000407934,4865.417681189813,1.0,0.0,0.0,4.535,3.343467511431807,6.465,6.465,1.0,1.0
8x8,2,8,8,64,1,3000,0.6318427000660449,4748.0171879589925,1.0,0.0,0.0,4.525,3.198339412882879,6.475,6.475,1.0,1.0
8x8,2,8,8,64,2,3000,0.6620482000289485,4531.39212502779,1.0,0.0,0.0,4.68,3.347775380756601,6.32,6.32,1.0,1.0
8x8,2,8,8,64,3,3000,0.6159152000909671,4870.800395179267,1.0,0.0,0.0,4.445,3.3372106616154755,6.555,6.555,1.0,1.0
8x8,2,8,8,64,4,3000,0.6331924999831244,4737.895663767266,1.0,0.0,0.0,3.815,3.3616625351156237,7.185,7.185,1.0,1.0
8x8,3,8,8,64,0,3000,0.7014697999693453,4276.734365657797,1.0,0.0,0.0,3.85,3.1156861202630797,7.15,7.15,1.0,1.0
8x8,3,8,8,64,1,3000,0.6936127000954002,4325.180319776983,1.0,0.0,0.0,3.735,3.0207242509040775,7.265,7.265,1.0,1.0
8x8,3,8,8,64,2,3000,0.6807671000715345,4406.793453568426,1.0,0.0,0.0,3.825,2.9940566126912165,7.175,7.175,1.0,1.0
8x8,3,8,8,64,3,3000,0.7053419000003487,4253.256470370634,1.0,0.0,0.0,4.095,3.158476689798422,6.905,6.905,1.0,1.0
8x8,3,8,8,64,4,3000,0.7236673999577761,4145.550843073823,1.0,0.0,0.0,3.64,3.17653899708472,7.36,7.36,1.0,1.0
8x8,4,8,8,64,0,3000,0.46790229994803667,6411.594899903607,1.0,0.0,0.0,5.995,2.094033189803829,5.005,4.955,0.9921428571428572,0.975
8x8,4,8,8,64,1,3000,0.45796769997105,6550.680321318822,1.0,0.0,0.0,6.405,2.200221579750549,4.595,4.595,1.0,1.0
8x8,4,8,8,64,2,3000,0.47650850005447865,6295.795352353659,1.0,0.0,0.0,6.04,2.1629609335353237,4.96,4.96,1.0,1.0
8x8,4,8,8,64,3,3000,0.47095280000939965,6370.065110431711,1.0,0.0,0.0,6.165,2.021824670934649,4.835,4.835,1.0,1.0
8x8,4,8,8,64,4,3000,0.4633672999916598,6474.3455139238295,1.0,0.0,0.0,5.675,2.2889681081220856,5.325,5.215,0.9840476190476192,0.945
8x8,5,8,8,64,0,3000,0.43115970003418624,6957.978678810039,1.0,0.0,0.0,6.335,2.2322130274684806,4.665,4.665,1.0,1.0
8x8,5,8,8,64,1,3000,0.42478829994797707,7062.341407160705,1.0,0.0,0.0,6.42,2.14326853193901,4.58,4.58,1.0,1.0
8x8,5,8,8,64,2,3000,0.42726150003727525,7021.461095226865,1.0,0.0,0.0,6.25,2.0463381929681126,4.75,4.75,1.0,1.0
8x8,5,8,8,64,3,3000,0.45977319998200983,6524.956217799091,1.0,0.0,0.0,6.37,2.216551375447905,4.63,4.63,1.0,1.0
8x8,5,8,8,64,4,3000,0.4214019998908043,7119.092934483876,1.0,0.0,0.0,6.075,2.172412253694036,4.925,4.925,1.0,1.0
8x8,6,8,8,64,0,3000,0.6573757999576628,4563.599694715275,1.0,0.0,0.0,3.845,3.114638823362992,7.155,7.155,1.0,1.0
8x8,6,8,8,64,1,3000,0.6627703999402002,4526.454410563117,1.0,0.0,0.0,4.44,2.9977324763894457,6.56,6.56,1.0,1.0
8x8,6,8,8,64,2,3000,0.6857967999530956,4374.473605308718,1.0,0.0,0.0,4.195,3.185431681891797,6.805,6.805,1.0,1.0
